"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
OS24-175,https://projects.sare.org/sare_project/OS24-175,"Assessing arsenic and soil salinization risk of Sargassum used in crop growth, agricultural compost, and upland waste piles in the US Virgin Islands","29,990.00",Southern,"On Farm Research/Partnership",VI,2024,"University of the Virgin Islands"
FNC09-747,https://projects.sare.org/sare_project/FNC09-747,"Creating a Sustainable Year-Round Greenhouse Cropping System Using Straw-bale Culture and LED Lighting","6,000.00","North Central",Farmer/Rancher,MN,2009,
FW09-302,https://projects.sare.org/sare_project/FW09-302,"On-Farm Implementation and Demonstration of Integrated Sustainable Agriculture and Livestock Production Systems for Small-Scale Farmers in Micronesia","38,220.00",Western,Farmer/Rancher,FM,2009,
LNC93-057,https://projects.sare.org/sare_project/LNC93-057,"Improving Nitrogen Utilization with Rotation and Cover Crops","93,799.00","North Central","Research and Education",MI,1993,
OW19-346,https://projects.sare.org/sare_project/OW19-346,"Promoting crop diversification and soil health for cut flower production","49,999.00",Western,"On Farm Research/Partnership",UT,2019,"Utah State University"
ONE20-364,https://projects.sare.org/sare_project/ONE20-364,"Biosecurity Preparedness, Infectious Disease Prevention, and Farmer Training on Northern New England Swine Farms","29,270.00",Northeast,"On Farm Research/Partnership",ME,2020,"Maine Department of Agriculture, Conservation and Forestry"
FNE06-564,https://projects.sare.org/sare_project/FNE06-564,"Greenhouse ginger cultivation in the Northeast","7,282.00",Northeast,Farmer/Rancher,MA,2006,
LNC20-438,https://projects.sare.org/sare_project/LNC20-438,"Improving two spotted spider mite management in high tunnel cucumber production","249,919.00","North Central","Research and Education",IN,2020,"Purdue University"
FNE12-770,https://projects.sare.org/sare_project/FNE12-770,"Cost-benefit analysis of inoculating blueberry bushes with ericoid mycorrhizae","8,890.00",Northeast,Farmer/Rancher,VT,2012,
FNC02-432,https://projects.sare.org/sare_project/FNC02-432,"Small Scale/Youth Organic Gardening Project Continuation","18,000.00","North Central",Farmer/Rancher,MI,2002,
YENC14-072,https://projects.sare.org/sare_project/YENC14-072,"Community Giving Garden","1,978.00","North Central","Youth Educator",OH,2014,
FNE21-994,https://projects.sare.org/sare_project/FNE21-994,"Cardboard Chips as a Farm Input","14,484.00",Northeast,Farmer/Rancher,MA,2021,"Coonamessett Farm"
FNE23-057,https://projects.sare.org/sare_project/FNE23-057,"Carbon Sequestration in Glacial Sand Soils in Haying, Cropping, and Soil Building Practices","27,843.00",Northeast,Farmer/Rancher,NY,2023,"Pitney Meadows Community Farm"
LNC17-388,https://projects.sare.org/sare_project/LNC17-388,"Improving farmer options for sustainable and profitable direct-market tomato production and high tunnel management in the Upper Midwest","199,915.00","North Central","Research and Education",WI,2017,"University of Wisconsin-Madison"
ONE18-318,https://projects.sare.org/sare_project/ONE18-318,"Practical Strategies for Reducing Ammonia Volatilization from Urine-Derived Fertilizers","14,938.00",Northeast,"On Farm Research/Partnership",VT,2018,"Rich Earth Institute"
FNC02-414,https://projects.sare.org/sare_project/FNC02-414,"Chinese Medicinal Plant Project","15,000.00","North Central",Farmer/Rancher,OH,2002,
FNC06-628,https://projects.sare.org/sare_project/FNC06-628,"Small Poultry Farm Education Project","5,998.00","North Central",Farmer/Rancher,KS,2006,
LNC95-091,https://projects.sare.org/sare_project/LNC95-091,"Integrating Quality of Life, Economic, and Environmental Issues: Agroecosystem Analysis of Amish Farming","40,800.00","North Central","Research and Education",OH,1995,
LNE01-149,https://projects.sare.org/sare_project/LNE01-149,"Community Incentives","79,577.00",Northeast,"Research and Education",DC,2001,
SW08-037,https://projects.sare.org/sare_project/SW08-037,"Sunn hemp and its allelopathic compounds for vegetable production in Hawaii and beyond","156,105.00",Western,"Research and Education",HI,2008,
FNC18-1116,https://projects.sare.org/sare_project/FNC18-1116,"Increasing yields, plant vigor and soil health with the use of woodchips","7,493.00","North Central",Farmer/Rancher,IN,2018,"Cicero Farm Market"
SLA17-002,https://projects.sare.org/sare_project/SLA17-002,"SLA17-002 Model State Program","11,111.00",Southern,"PDP State Program",LA,2017,"Southern University Agriculture &amp; Extension Center"
LNC19-430,https://projects.sare.org/sare_project/LNC19-430,"Eastern Upper Michigan Sustainable Agriculture Curriculum Initiative","199,987.00","North Central","Research and Education",MI,2019,"Bay Mills Community College"
GNC21-337,https://projects.sare.org/sare_project/GNC21-337,"Consumer demand for cannabis-infused beverages and its impact on the economic sustainability of local farms and craft beverage producers","14,431.00","North Central","Graduate Student",MI,2021,"Michigan State University"
ONE22-429,https://projects.sare.org/sare_project/ONE22-429,"Evaluating Essential Oil-based Formulations for the Alternative Control of Winter Cattle Lice","26,738.00",Northeast,"On Farm Research/Partnership",VT,2022,"University of Vermont Extension"
FNC10-807,https://projects.sare.org/sare_project/FNC10-807,"Bio char Kiln Fabrication and Operation","3,893.00","North Central",Farmer/Rancher,MN,2010,
FW19-353,https://projects.sare.org/sare_project/FW19-353,"Optimizing Amendment and Seeding Rate for Heritage Spring Wheat Production in Western Washington","19,432.00",Western,Farmer/Rancher,WA,2019,"Barn Owl Bakery &amp; Heritage Grains"
LS22-372,https://projects.sare.org/sare_project/LS22-372,"Sustainable Soil Resource Management and Produce Marketing on Resource-limited Urban Farms","371,000.00",Southern,"Research and Education",TX,2022,"Texas Christian University, CoAct, Healthy Tarrant County Collaboration (HTCC)"
FS23-359,https://projects.sare.org/sare_project/FS23-359,"A Path to Southern Tea: Propagation of Camellia Sinensus to Support an Alternative Field Crop for Southern Farmers","9,150.00",Southern,Farmer/Rancher,GA,2023,"Jenny Jack Farm"
ONE20-376,https://projects.sare.org/sare_project/ONE20-376,"Soil Carbon Capture for Diverse Farmers","30,000.00",Northeast,"On Farm Research/Partnership",NY,2020,"Soul Fire Farm Institute, Inc."
LNC15-370,https://projects.sare.org/sare_project/LNC15-370,"Protecting Soybeans from Aphids, as Easy as (Rag) 1, 2, and 3","127,247.00","North Central","Research and Education",IA,2015,"Iowa State University"
ONE12-171,https://projects.sare.org/sare_project/ONE12-171,"Spring application of winter rye grain for weed control in summer vegetables","14,973.00",Northeast,"On Farm Research/Partnership",NY,2012,
SW08-121,https://projects.sare.org/sare_project/SW08-121,"Sustainable Solutions to IYSV on Onion Via Grower-Research Partnerships","177,527.00",Western,"Research and Education",OR,2008,
ONE16-257,https://projects.sare.org/sare_project/ONE16-257,"New apple rootstocks’ influence on mineral composition of leaves and fruit","14,562.00",Northeast,"On Farm Research/Partnership",PA,2016,"The Pennsylvania State University"
FW16-035,https://projects.sare.org/sare_project/FW16-035,"A Comparative Study of Shading Systems to Control the Beet Leafhopper and Reduce Beet Curly Top Virus in Heirloom Tomato Fields","19,909.00",Western,Farmer/Rancher,NM,2016,"TomatoCulture LLC"
FNC23-1389,https://projects.sare.org/sare_project/FNC23-1389,"Brix Levels For Grasshopper Control","6,968.00","North Central",Farmer/Rancher,ND,2023,"Hiddendale Farm"
GNC06-057,https://projects.sare.org/sare_project/GNC06-057,"Cropping intensity and organic amendments in transitional farming systems","9,375.00","North Central","Graduate Student",IL,2006,"University of Illinois"
LNC97-124,https://projects.sare.org/sare_project/LNC97-124,"Development of Sustainable Practices for Integrated Management of Apple Diseases","92,892.00","North Central","Research and Education",WI,1997,
GNE16-135,https://projects.sare.org/sare_project/GNE16-135,"Plant probiotics? Understanding how soil health practices influence plant-insect interactions","15,000.00",Northeast,"Graduate Student",PA,2016,"Penn State University"
FNC92-009,https://projects.sare.org/sare_project/FNC92-009,"Converting Windrower into an Efficient, Affordable Compost Turner","5,000.00","North Central",Farmer/Rancher,NE,1992,
FNE09-675,https://projects.sare.org/sare_project/FNE09-675,"Compost Windrow as Greenhouse Heat Source","9,998.00",Northeast,Farmer/Rancher,RI,2009,
FS07-213,https://projects.sare.org/sare_project/FS07-213,"Recycling Mushroom Spent Compost","8,027.00",Southern,Farmer/Rancher,PR,2007,
FNC04-512,https://projects.sare.org/sare_project/FNC04-512,"Use of Acid Reclaimed Mine Land for Commercial Blueberry Production","6,000.00","North Central",Farmer/Rancher,OH,2004,
FNC97-187,https://projects.sare.org/sare_project/FNC97-187,"Marketing On-farm Composted Manure","9,700.00","North Central",Farmer/Rancher,MI,1997,
FW09-047,https://projects.sare.org/sare_project/FW09-047,"La Placita Gardens Composting Research Project","15,000.00",Western,Farmer/Rancher,NM,2009,
ONE14-199,https://projects.sare.org/sare_project/ONE14-199,"Biological management of apple replant disease","14,314.00",Northeast,"On Farm Research/Partnership",VT,2014,
OS12-064,https://projects.sare.org/sare_project/OS12-064,"An alternative organic strawberry production system grown vertically in high tunnels","15,000.00",Southern,"On Farm Research/Partnership",AR,2012,
FNE01-366,https://projects.sare.org/sare_project/FNE01-366,"Short Straw - Compost Advantages in Vineyards","9,555.00",Northeast,Farmer/Rancher,NY,2001,
FNE03-451,https://projects.sare.org/sare_project/FNE03-451,"Compost Mounds and No-Till for Pumpkins","6,044.00",Northeast,Farmer/Rancher,NY,2003,
GS04-032,https://projects.sare.org/sare_project/GS04-032,"Optimizing substrates, composts, and fertilizer additions for organic transplant production","10,000.00",Southern,"Graduate Student",NC,2004,"North Carolina State University"
OS20-135,https://projects.sare.org/sare_project/OS20-135,"On-farm Evaluation of an Innovative Anaerobic Soil Disinfestation Practice for Improving Organic Carrot Production in North Florida","19,995.00",Southern,"On Farm Research/Partnership",FL,2020,"University of Florida"
LNE98-102,https://projects.sare.org/sare_project/LNE98-102,"Sustainable Integrated Management of Weeds - Diseases in Cabbage Cropping Systems","140,000.00",Northeast,"Research and Education",NY,1998,
LS12-250,https://projects.sare.org/sare_project/LS12-250,"Extending the Market Season with High Tunnel Technology for Organic Fruit Production","214,948.00",Southern,"Research and Education",AR,2012,
FNC02-438,https://projects.sare.org/sare_project/FNC02-438,"Compost Heat for Group Nursing","6,000.00","North Central",Farmer/Rancher,MN,2002,
FNC09-763,https://projects.sare.org/sare_project/FNC09-763,"Filling the Niche and Closing the Loop:  Developing a Wildflower Nursery for the Restoration Market Using Forest Biomass By-Products as the Garden Foundation","5,429.50","North Central",Farmer/Rancher,WI,2009,
FNC94-079,https://projects.sare.org/sare_project/FNC94-079,"Low-Cost Waste Management in Beef Cattle Operation","3,277.00","North Central",Farmer/Rancher,IL,1994,
FNE99-244,https://projects.sare.org/sare_project/FNE99-244,"Winter Wheat Trials with Response to Composts for Maine","4,900.00",Northeast,Farmer/Rancher,ME,1999,
FS08-227,https://projects.sare.org/sare_project/FS08-227,"Optimizing management of manure composts to yield high value mushroom crops and soil amendments","6,317.00",Southern,Farmer/Rancher,VA,2008,
GNE10-001,https://projects.sare.org/sare_project/GNE10-001,"Assessing the Direct Effect of Disease-Suppressive Soil Amendments on Rhizoctonia solani","9,430.00",Northeast,"Graduate Student",ME,2010,"University of Maine"
LNE99-125,https://projects.sare.org/sare_project/LNE99-125,"Composting as a Component of Sustainable Agriculture: Developing - Delivering Composting Information at a Critical Time","84,513.00",Northeast,"Research and Education",NY,1999,
ONE17-303,https://projects.sare.org/sare_project/ONE17-303,"Increasing soil health and climate resilience education for pasture-based livestock farmers","14,967.00",Northeast,"On Farm Research/Partnership",NY,2017,"Glynwood Center, Inc."
OW20-360,https://projects.sare.org/sare_project/OW20-360,"Solarization and Biosolarization: Harnessing the Sun and Organic Matter to Control Weeds","49,956.00",Western,"On Farm Research/Partnership",CA,2020,"National Center for Appropriate Technology"
ONE21-394,https://projects.sare.org/sare_project/ONE21-394,"Increasing Efficiency and Decision-Making Capability of Small, Socially Disadvantaged, and Minority Farmers","29,957.00",Northeast,"On Farm Research/Partnership",MD,2021,"University of Maryland Eastern Shore"
GNE21-269,https://projects.sare.org/sare_project/GNE21-269,"Improving soil health using beneficial microbiomes in urban agriculture","14,991.00",Northeast,"Graduate Student",NY,2021,"Cornell University"
LS12-249,https://projects.sare.org/sare_project/LS12-249,"Improving Soil Quality to Increase Yield and Reduce Diseases in Organic Rice Production","225,000.00",Southern,"Research and Education",TX,2012,"Texas A&M AgriLife Research"
WNC20-102,https://projects.sare.org/sare_project/WNC20-102,"NCR SARE - Indiana State Plan of Work 2021-2022","130,000.00","North Central","PDP State Program",IN,2022,"Purdue Extension"
FNC19-1159,https://projects.sare.org/sare_project/FNC19-1159,"Holistic Forestry, Vegetables, and Small Livestock Production that Eradicates Invasive Species and Exposes Consumers to Sustainable Agriculture.","8,233.00","North Central",Farmer/Rancher,IN,2019,"Mud Creek Farm"
FNC92-005,https://projects.sare.org/sare_project/FNC92-005,"Converting to Sustainable Agriculture","3,120.00","North Central",Farmer/Rancher,MO,1992,"Schafer Edinburg Farms, Inc."
GNC06-064,https://projects.sare.org/sare_project/GNC06-064,"Improved management of striped cucumber beetle , Acalymma vittaum (F.) (Coleoptera: Chrysomelidae) by using a squash trap crop and a polyculture of cucumber and tomato.","10,000.00","North Central","Graduate Student",MI,2006,"Michigan State University"
GNE10-006,https://projects.sare.org/sare_project/GNE10-006,"Exploiting plant genotypic diversity for sustainable insect pest management","13,179.00",Northeast,"Graduate Student",PA,2010,"Penn State"
GNE15-093,https://projects.sare.org/sare_project/GNE15-093,"Boosting plant defenses using silicon fertilization","14,993.00",Northeast,"Graduate Student",PA,2015,"Penn State University"
GS09-081,https://projects.sare.org/sare_project/GS09-081,"Trap cropping for management of Harlequin bug in cole crops","9,523.00",Southern,"Graduate Student",VA,2009,"Virginia Tech"
GW16-021,https://projects.sare.org/sare_project/GW16-021,"Identification of peony diseases in the Pacific Northwest and Alaska","24,979.00",Western,"Graduate Student",WA,2016,"Washington State University"
GW16-055,https://projects.sare.org/sare_project/GW16-055,"Seed Transmission and Management of White Leaf Spot and Light Leaf Spot Pathogens in Brassicas in the Pacific Northwest","15,675.00",Western,"Graduate Student",WA,2016,"Washington State University"
LNE03-177,https://projects.sare.org/sare_project/LNE03-177,"Perimeter trap crop approach to pest management on vegetable farms","139,527.00",Northeast,"Research and Education",CT,2003,
LS10-233,https://projects.sare.org/sare_project/LS10-233,"Integrated Use of Grafting Technology to Improve Disease Resistance and Fruit Yield in Specialty Melon Production","223,000.00",Southern,"Research and Education",FL,2010,
ONE10-118,https://projects.sare.org/sare_project/ONE10-118,"Determining the Potential for Organic Material Use in Northeast Commercial Pear Production","11,895.00",Northeast,"On Farm Research/Partnership",NY,2010,
ONE11-137,https://projects.sare.org/sare_project/ONE11-137,"Underseeding Clover in Organic Wheat to Reduce Mycotoxins and Improve Grain Quality","14,728.00",Northeast,"On Farm Research/Partnership",VT,2011,
ONE15-240,https://projects.sare.org/sare_project/ONE15-240,"Using heat recovery ventilation systems in high tunnels to increase winter crop production","9,782.00",Northeast,"On Farm Research/Partnership",PA,2015,
OS04-019,https://projects.sare.org/sare_project/OS04-019,"Production Costs and Techniques for Blueberry Establishment in Eastern Kentucky","3,764.00",Southern,"On Farm Research/Partnership",KY,2004,
LNE20-409R,https://projects.sare.org/sare_project/LNE20-409R,"Anaerobic Soil Disinfestation as Pre-plant Treatment for Perennial Strawberry in the Northeast","184,617.00",Northeast,"Research Only",NY,2020,"Cornell University Cooperative Extension, Maine Organic Farmers &amp; Gardeners Association"
FNC21-1305,https://projects.sare.org/sare_project/FNC21-1305,"A protection system for growing Peaches in cold Climates","8,840.00","North Central",Farmer/Rancher,MN,2021,"Stone Creek Farm"
LNE21-427R,https://projects.sare.org/sare_project/LNE21-427R,"Stacking Robust Resistance to Septoria Leaf Spot from Wild Germplasm Accessions into the Cultivated Tomato","198,977.00",Northeast,"Research Only",WV,2021,"West Virginia University"
SW22-938,https://projects.sare.org/sare_project/SW22-938,"Targeted grazing by sheep to control invasive species and reduce wildfire risk on western rangelands","349,815.00",Western,"Research and Education",ID,2022,"Boise State University, Brigham Young University"
GNE22-304,https://projects.sare.org/sare_project/GNE22-304,"Evaluation of tetralone abscisic acid as a novel budbreak delay and spring frost damage mitigation product in vineyards","14,226.00",Northeast,"Graduate Student",NY,2022,"Cornell University"
LNE23-463,https://projects.sare.org/sare_project/LNE23-463,"The Northeast Arugula Team (NEAT): Evaluation and Mitigation of Limitations to Profitability for Arugula and Brassica Leafy Green Production","237,756.00",Northeast,"Research and Education",PA,2023,"The Pennsylvania State University"
EDS20-23,https://projects.sare.org/sare_project/EDS20-23,"Agro-Ecological Education for New Farmers in the Central Western Region of Puerto Rico","49,992.00",Southern,"Education Only",PR,2020,"Plenitud PR"
FNC08-741,https://projects.sare.org/sare_project/FNC08-741,"Comparison of Coverings Over Permanent Raised Beds to Extend the Growing Season for Year Round Food Production","6,000.00","North Central",Farmer/Rancher,MO,2008,"Prairie Birthday Farm"
OW17-037,https://projects.sare.org/sare_project/OW17-037,"Successful Cacao Establishment through Improved Soil Management","49,789.00",Western,"On Farm Research/Partnership",HI,2017,"Oahu Resource Conservation &amp; Development"
FW98-093,https://projects.sare.org/sare_project/FW98-093,"Cull Potato Composting","7,500.00",Western,Farmer/Rancher,MT,1998,
LNE94-044,https://projects.sare.org/sare_project/LNE94-044,"Management Strategies for Improved Soil Quality with Emphasis on Soil Compaction","130,000.00",Northeast,"Research and Education",NY,1994,
OS07-034,https://projects.sare.org/sare_project/OS07-034,"Hydroseeded mulch as an alternative to plastic mulch films","14,000.00",Southern,"On Farm Research/Partnership",GA,2007,
YENC08-008,https://projects.sare.org/sare_project/YENC08-008,"Benton Elementary School ""Local Harvest of the Month""","1,370.00","North Central","Youth Educator",MO,2008,
YENC17-119,https://projects.sare.org/sare_project/YENC17-119,"Sustainable Agriculture Youth Workforce Development Program","2,000.00","North Central","Youth Educator",IL,2017,"Lincoln Land Community College"
FW20-362,https://projects.sare.org/sare_project/FW20-362,"Manure and Pasture Management to Reduce Swine Parasites in Western Washington Organic Pastured Pork Production","19,899.00",Western,Farmer/Rancher,WA,2020,"Alluvial Farms"
LS22-366,https://projects.sare.org/sare_project/LS22-366,"Development of Sustainable Strategies for Managing Bacterial Diseases and Improving Tree Health in the Peach Production System","371,000.00",Southern,"Research and Education",SC,2022,"Clemson University"
LNC10-324,https://projects.sare.org/sare_project/LNC10-324,"Developing successful marketing strategies for elderberry growers and value added processors: a model for specialty crop development in the U.S. Midwest.","105,427.00","North Central","Research and Education",MO,2010,
FNE94-048,https://projects.sare.org/sare_project/FNE94-048,"Innovative Uses of Leaf Compost for the Modern Farmer/Grower","5,000.00",Northeast,Farmer/Rancher,CT,1994,
YENC09-013,https://projects.sare.org/sare_project/YENC09-013,"The Early Bird Gets the Worm","1,977.44","North Central","Youth Educator",MI,2009,
FNC21-1272,https://projects.sare.org/sare_project/FNC21-1272,"Water and Soil Quality Composting Design Research Initiative","9,000.00","North Central",Farmer/Rancher,WI,2021,"ZanBria Artisan Farms LLC"
FNC22-1334,https://projects.sare.org/sare_project/FNC22-1334,"Truffle-Hardwood Orchard Development: A New Agro-Forestry Product for Indiana","15,000.00","North Central",Farmer/Rancher,IN,2022,"Koko Earth Farms, LLC"
CS10-083,https://projects.sare.org/sare_project/CS10-083,"United Cherokee Ani-Yun-Wiya Nation Blackberry Development Project (UCANBD Project)","10,000.00",Southern,"Sustainable Community Innovation",AL,2010,
FNC09-761,https://projects.sare.org/sare_project/FNC09-761,"Partnerships in Food Waste Reduction through Vermiculture","5,739.96","North Central",Farmer/Rancher,OH,2009,
ONE17-292,https://projects.sare.org/sare_project/ONE17-292,"Developing lavender and mint production in the Northeast","14,987.00",Northeast,"On Farm Research/Partnership",NY,2017,"Cornell University Cooperative Extension"
FS19-312,https://projects.sare.org/sare_project/FS19-312,"Tagasaste: A new feed source for West Texas","9,670.00",Southern,Farmer/Rancher,TX,2019,Farmer
OW21-362,https://projects.sare.org/sare_project/OW21-362,"Building productivity and soil health with erosion control structures in arid rangelands: effects of organic amendments and seeding.","74,932.00",Western,"On Farm Research/Partnership",NM,2021,"Quivira Coalition"
FW21-378,https://projects.sare.org/sare_project/FW21-378,"Growing Table Grape Varieties for Subtropical Hawaii Using Organic Practices","25,000.00",Western,Farmer/Rancher,HI,2021,"Kawanui Farm"
FNC05-593,https://projects.sare.org/sare_project/FNC05-593,"A Unique System of Covering Drought Destroyed Pastures with Compost and Woodchips to Protect Light Soils and Newly Seeded Grasses","6,000.00","North Central",Farmer/Rancher,NE,2005,
FNC10-835,https://projects.sare.org/sare_project/FNC10-835,"Four-Season Vegetable Production Utilizing High Tunnels, Floating Row Cover, and a Compost Heat Exchanger.","5,994.19","North Central",Farmer/Rancher,IL,2010,
FW05-025,https://projects.sare.org/sare_project/FW05-025,"Determining the Feasibility of Compost Production from Agronomic Waste and Wood Byproducts through Mushroom Cultivation Techniques for the Small Farmer","2,419.00",Western,Farmer/Rancher,WA,2005,
ONC24-139,https://projects.sare.org/sare_project/ONC24-139,"Solving the Compost Conundrum: Utilizing Microbial Inoculation to Increase Fertility and Soil Health on Small Farms","15,565.00","North Central","On Farm Research/Partnership",IN,2024,"Urban Soil Health"
FNC99-276,https://projects.sare.org/sare_project/FNC99-276,"Producing White Asparagus","2,290.00","North Central",Farmer/Rancher,OH,1999,
FNE06-581,https://projects.sare.org/sare_project/FNE06-581,"Composting bedded pack barn","9,975.00",Northeast,Farmer/Rancher,PA,2006,
FW06-032,https://projects.sare.org/sare_project/FW06-032,"Determine Whether Small Farm Poultry Production Can Be Boosted when Combined with Red Worm (Eisenia foetida) Vermiculture","10,000.00",Western,Farmer/Rancher,OR,2006,
GNC12-154,https://projects.sare.org/sare_project/GNC12-154,"Soil Microbial Response to Seven Different Organic Transition Strategies","9,920.00","North Central","Graduate Student",MO,2012,"University of Missouri"
NEMA14-001,https://projects.sare.org/sare_project/NEMA14-001,"Nutrient Management Guidelines and Cover Crop Practices for Soil Health","56,812.00",Northeast,"PDP State Program",MA,2014,"University of Massachusetts"
NEMA14-001,https://projects.sare.org/sare_project/NEMA14-001,"Nutrient Management Guidelines and Cover Crop Practices for Soil Health","56,812.00",Northeast,"PDP State Program",MA,2014,"University of Massachusetts"
NEMA14-001,https://projects.sare.org/sare_project/NEMA14-001,"Nutrient Management Guidelines and Cover Crop Practices for Soil Health","56,812.00",Northeast,"PDP State Program",MA,2014,"University of Massachusetts"
FNE22-029,https://projects.sare.org/sare_project/FNE22-029,"Sustainable Microgreens Packaging","29,137.00",Northeast,Farmer/Rancher,NY,2022,"Brooklyn Grange"
FS17-298,https://projects.sare.org/sare_project/FS17-298,"Weed Suppression by Compost Mulch in Plantains","8,436.00",Southern,Farmer/Rancher,PR,2017,Farmer
ES02-064,https://projects.sare.org/sare_project/ES02-064,"Calhoun Fields Laboratory: A Program for Experiential Training in Organic Farming Systems","49,926.00",Southern,"Professional Development Program",SC,2002,
FNE12-766,https://projects.sare.org/sare_project/FNE12-766,"Annual artemisia as a high-value crop and for weed control","7,168.00",Northeast,Farmer/Rancher,MA,2012,
FW11-005,https://projects.sare.org/sare_project/FW11-005,"Pollinator Forage Development","15,000.00",Western,Farmer/Rancher,NM,2011,
FNE16-837,https://projects.sare.org/sare_project/FNE16-837,"Kale leaf nutrient density response to various mulches","15,000.00",Northeast,Farmer/Rancher,PA,2016,"Blackberry Meadows Farm"
LNC18-414,https://projects.sare.org/sare_project/LNC18-414,"From the Earth","131,676.00","North Central","Research and Education",WI,2018,"Stockbridge-Munsee Community"
FS07-219,https://projects.sare.org/sare_project/FS07-219,"Treating Soil Compaction Using Woven Weed Fabric","9,886.00",Southern,Farmer/Rancher,TX,2007,
GS08-065,https://projects.sare.org/sare_project/GS08-065,"Effects of organic amendments on aggregation and microbial community dynamics in soils","10,000.00",Southern,"Graduate Student",KY,2008,"University of Kentucky"
SGA16-001,https://projects.sare.org/sare_project/SGA16-001,"2016-2017 Model State Program University of Georgia","6,667.00",Southern,"PDP State Program",GA,2016,"University of Georgia"
FNC12-878,https://projects.sare.org/sare_project/FNC12-878,"Phase 2: Burgundy Truffle Orchard Establishment - The Burgundy Truffle as a new sustainable agro-forestry crop for Missouri","7,500.00","North Central",Farmer/Rancher,MO,2012,
GNE14-084,https://projects.sare.org/sare_project/GNE14-084,"Evaluating the biological control agent Trichoderma: Enhancement of plant growth and development through biostimulatory volatile treatment","10,248.00",Northeast,"Graduate Student",NJ,2014,"Rutgers, The State University of New Jersey"
ONE11-139,https://projects.sare.org/sare_project/ONE11-139,"Evaluation of organic strategies to control a new invasive pest, swede midge, Contarinia nasturtii (Diptera: Cecidomyiidae)","15,000.00",Northeast,"On Farm Research/Partnership",VT,2011,
OS16-093,https://projects.sare.org/sare_project/OS16-093,"Increasing Sustainability of Peanut, Cotton, and Soybean Production Systems Through Innovative Interseeding Technology to Enhance Farm Profit and Reduce Pest Occurrence","14,990.00",Southern,"On Farm Research/Partnership",SC,2016,"Clemson University"
LS18-299,https://projects.sare.org/sare_project/LS18-299,"Sustainable Management Options for Whitefly-transmitted Viruses in Cucurbit Production","290,000.00",Southern,"Research and Education",GA,2018,"University of Georgia"
FS10-249,https://projects.sare.org/sare_project/FS10-249,"Production and Marketing of European Melons in the Southeast","5,390.00",Southern,Farmer/Rancher,GA,2010,
FNE22-025,https://projects.sare.org/sare_project/FNE22-025,"Transferred Mulch System for Organic Reduced Tillage Vegetable Production","29,587.00",Northeast,Farmer/Rancher,MA,2022,"Simple Gifts Farm"
FNC07-678,https://projects.sare.org/sare_project/FNC07-678,"Green Beings CSA Urban Farming Education and Outreach","5,975.00","North Central",Farmer/Rancher,MO,2007,
FNC15-1006,https://projects.sare.org/sare_project/FNC15-1006,"Evaluation of efficiency and efficacy of a method for managing the nutrient cycle on a bio-intensive micro-farm","6,344.00","North Central",Farmer/Rancher,MO,2015,"Urban Roots Farm"
FNC93-037,https://projects.sare.org/sare_project/FNC93-037,"Manure Composting in Dairy Operations","2,600.00","North Central",Farmer/Rancher,MI,1993,
FNC95-112,https://projects.sare.org/sare_project/FNC95-112,"On-Farm Food Waste Composting","5,000.00","North Central",Farmer/Rancher,IN,1995,
FW12-035,https://projects.sare.org/sare_project/FW12-035,"Comparing Organic No till with Conventional Tillage methods when Direct Seeding Vegetables and Incorporating Cover Crops","14,701.00",Western,Farmer/Rancher,WA,2012,
LNC08-294,https://projects.sare.org/sare_project/LNC08-294,"Antibiotic Uptake by Vegetable Crops from Manure-Applied Soils","139,420.00","North Central","Research and Education",MN,2008,
LNE01-144,https://projects.sare.org/sare_project/LNE01-144,"Survey of the Nutrient Status of Organic Vegetable Farms","35,397.00",Northeast,"Research and Education",CT,2001,
ONC18-046,https://projects.sare.org/sare_project/ONC18-046,"Using Living Aisles and No-Till Planting Strips to Mitigate the Impacts of Intense Rain Events on Organic Vegetable Farms","29,999.00","North Central","On Farm Research/Partnership",WI,2018,"FairShare CSA Coalition"
FNC18-1128,https://projects.sare.org/sare_project/FNC18-1128,"Comparison of Methods for Growing Potatoes on Market Farms","13,242.00","North Central",Farmer/Rancher,WI,2018,"Johnson Farm"
WSP19-027,https://projects.sare.org/sare_project/WSP19-027,"Hands-on training on sustainable gardening to address climate change and NCD issues in Micronesia","31,250.00",Western,"PDP State Program",FM,2019,"College of Micronesia"
FNC22-1344,https://projects.sare.org/sare_project/FNC22-1344,"A Workers Cooperative Food System Approach to Climate Resilience","29,120.00","North Central",Farmer/Rancher,MO,2022,MARSH
FNC22-1358,https://projects.sare.org/sare_project/FNC22-1358,"Cultivating mushrooms and producing soil amendments using underutilized waste materials to increase profitability in an agroforestry system.","15,000.00","North Central",Farmer/Rancher,IL,2022,"Zumwalt Acres"
YENC18-129,https://projects.sare.org/sare_project/YENC18-129,"Sustainable Agriculture Internship Including Study of Compost Nutrient Cycling in Urban Agriculture","2,000.00","North Central","Youth Educator",MN,2018,"Spark Youth"
